service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BU,1,1,1,1,1,0,0,20260720,20260906
BexpU,1,1,1,1,1,0,0,20260720,20260906
DU,1,1,1,1,1,0,0,20260720,20260906
FU,1,1,1,1,1,0,0,20260720,20260906
EU,1,1,1,1,1,0,0,20260720,20260906
AU,1,1,1,1,1,0,0,20260720,20260906
CU,1,1,1,1,1,0,0,20260720,20260906
BS,0,0,0,0,0,1,0,20260720,20260906
DS,0,0,0,0,0,1,0,20260720,20260906
FS,0,0,0,0,0,1,0,20260720,20260906
ES,0,0,0,0,0,1,0,20260720,20260906
AS,0,0,0,0,0,1,0,20260720,20260906
CS,0,0,0,0,0,1,0,20260720,20260906
BDF,0,0,0,0,0,0,1,20260720,20260906
DDF,0,0,0,0,0,0,1,20260720,20260906
FDF,0,0,0,0,0,0,1,20260720,20260906
EDF,0,0,0,0,0,0,1,20260720,20260906
ADF,0,0,0,0,0,0,1,20260720,20260906
CDF,0,0,0,0,0,0,1,20260720,20260906
