stop_id,has_parking,is_free,open_24_7
5697,0,0,0
5698,1,1,1
5699,0,0,0
5700,0,0,0
5701,0,0,0
5702,1,1,1
5703,0,0,0
5704,0,0,0
5705,1,1,1
5706,0,0,0
5707,0,0,0
5708,1,0,1
5709,0,0,0
5710,1,1,1
5711,0,0,0
5712,0,0,0
5713,0,0,0
5714,0,0,0
5715,0,0,0
5716,0,0,0
5717,0,0,0
5718,0,0,0
5719,1,1,1
5720,1,1,1
5721,0,0,0
5722,0,0,0
5723,0,0,0
5724,1,1,1
5725,0,0,0
5726,0,0,0
5727,0,0,0
5728,1,1,1
5729,0,0,0
5730,0,0,0
5731,1,1,1
5732,1,1,1
5733,1,1,1
5734,1,1,1
5735,1,1,1
5736,1,1,1
5737,0,0,0
5739,1,1,1
5740,1,1,1
5741,1,1,1
5742,0,0,0
5743,1,1,1
5744,1,1,1
5745,0,0,0
5746,0,0,0
5747,0,0,0
5748,0,0,0
5749,1,1,1
5750,0,0,0
5752,0,0,0
5753,1,1,1
5754,1,1,1
5755,0,0,0
5756,1,1,1
5757,1,1,1
5760,0,0,0
5761,1,1,1
5762,1,1,1
5763,0,0,0
5764,1,1,1
5765,0,0,0
5766,0,0,0
5767,0,0,0
5768,0,0,0
5769,0,0,0
5770,0,0,0
5771,0,0,0
5772,0,0,0
5773,0,0,0
5774,0,0,0
5775,0,0,0
5776,0,0,0
5777,0,0,0
5778,0,0,0
5782,0,0,0
5783,1,0,1
5791,0,0,0
5792,0,0,0
5811,0,0,0
5812,0,0,0
5813,0,0,0
