agency_id,route_id,route_short_name,route_type,route_long_name,route_url,route_color,route_text_color,route_sort_order
STCP,107,ZC,3,ESTÁDIO DO DRAGÃO - AREIAS,http://www.stcp.pt/pt/viajar/linhas/?linha=107,187EC2,FFFFFF,62
STCP,10M,10M,3,AV.ALIADOS - VILA D'ESTE,http://www.stcp.pt/pt/viajar/linhas/?linha=10M,000000,FFFFFF,71
STCP,11M,11M,3,HOSP. S. JOÃO - COIMBRÕES,http://www.stcp.pt/pt/viajar/linhas/?linha=11M,000000,FFFFFF,72
STCP,12M,12M,3,AV.ALIADOS - STO.OVÍDIO,http://www.stcp.pt/pt/viajar/linhas/?linha=12M,000000,FFFFFF,73
STCP,13M,13M,3,AV.ALIADOS - MATOSINHOS (MERCADO),http://www.stcp.pt/pt/viajar/linhas/?linha=13M,000000,FFFFFF,74
STCP,1M,1M,3,AV.ALIADOS - MATOSINHOS (PRAIA),http://www.stcp.pt/pt/viajar/linhas/?linha=1M,000000,FFFFFF,63
STCP,200,200,3,BOLHÃO - CAST.QUEIJO,http://www.stcp.pt/pt/viajar/linhas/?linha=200,187EC2,FFFFFF,4
STCP,201,201,3,ALIADOS-VISO,http://www.stcp.pt/pt/viajar/linhas/?linha=201,187EC2,FFFFFF,5
STCP,202,202,3,ALIADOS-PASSEIO ALEGRE (VIA AV. BESSA),http://www.stcp.pt/pt/viajar/linhas/?linha=202,187EC2,FFFFFF,6
STCP,203,203,3,ESTÁDIO DO DRAGÃO - CASA DA MÚSICA,http://www.stcp.pt/pt/viajar/linhas/?linha=203,187EC2,FFFFFF,7
STCP,204,204,3,HOSPITAL DE S.JOÃO - FOZ,http://www.stcp.pt/pt/viajar/linhas/?linha=204,187EC2,FFFFFF,8
STCP,205,205,3,CAMPANHÃ-CASTELO DO QUEIJO,http://www.stcp.pt/pt/viajar/linhas/?linha=205,187EC2,FFFFFF,9
STCP,206,206,3,CAMPANHÃ-VISO,http://www.stcp.pt/pt/viajar/linhas/?linha=206,187EC2,FFFFFF,10
STCP,207,207,3,CAMPANHÃ-MERCADO DA FOZ,http://www.stcp.pt/pt/viajar/linhas/?linha=207,187EC2,FFFFFF,11
STCP,208,208,3,ALIADOS-ALDOAR,http://www.stcp.pt/pt/viajar/linhas/?linha=208,187EC2,FFFFFF,12
STCP,209,209,3,PASTELEIRA-PRELADA,http://www.stcp.pt/pt/viajar/linhas/?linha=209,187EC2,FFFFFF,13
STCP,2M,2M,3,AV.ALIADOS - HOSPITAL S. JOÃO,http://www.stcp.pt/pt/viajar/linhas/?linha=2M,000000,FFFFFF,64
STCP,300,300,3,CIRCULAR HOSPITAL DE S.JOÃO-ALIADOS,http://www.stcp.pt/pt/viajar/linhas/?linha=300,187EC2,FFFFFF,14
