stop_lat,stop_lon,stop_id,stop_code,stop_name,zone_id,stop_url
41.254116,-8.653726,.,.,.,MAI2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=.
41.14823,-8.61076,0AAL2,0AAL2,AV. ALIADOS,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0AAL2
41.14816,-8.61078,0AAL4,0AAL4,AV. ALIADOS,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0AAL4
41.15194,-8.60711,0BLRB,0BLRB,BOLHÃO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0BLRB
41.14582,-8.61537,0COR1,0COR1,CORDOARIA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0COR1
41.14582,-8.61537,0COR3,0COR3,CORDOARIA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0COR3
41.14582,-8.61537,0COR5,0COR5,CORDOARIA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0COR5
41.183042,-8.601187,0HSJ7,0HSJ7,HOSPITAL S. JOÃO (URGÊNCIA),PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0HSJ7
41.18298,-8.60045,0HSJ8,0HSJ8,HOSP. S. JOÃO (CIRCUNVALAÇÃO),PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0HSJ8
41.18298,-8.60045,0HSJ9,0HSJ9,HOSP. S. JOÃO (CIRCUNVALAÇÃO),PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0HSJ9
41.15156,-8.61043,0TRD6,0TRD6,TRINDADE,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0TRD6
41.149118,-8.61001,1AL6,1AL6,AV.ALIADOS,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1AL6
